"Name","COVID-19 Deaths by Race/Ethnicity"
"Description","Racial groups are defined such that:&nbsp;<br />
<em>Asian</em>&nbsp;= Asian or Pacific Islander<br />
<em>Black</em>&nbsp;= Black or African American<br />
<em>Hispanic</em>&nbsp;= Hispanic or Latino, regardless of race<br />
<em>White</em>&nbsp;= White&nbsp;<br />
<br />
Rates are age adjusted according to the U.S. 2000 standard population, per 100,000 people by racial/ethnic group.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Deaths were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;</strong><strong><strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on COVID-19, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data on people identified as American Indian/Alaska Native, two or more races, or other races/ethnicities are not shown, as precise race-specific population estimates are not available for these groups in NYC. Race/ethnicity information is most complete for people who have been hospitalized or have died.<br />
<br />
Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,Asian,08/16,Rate,111.19,3651000
New York City,Black,08/16,Rate,246.55,3651000
New York City,Hispanic,08/16,Rate,261.7,3651000
New York City,White,08/16,Rate,123.39,3651000
New York City,Asian,08/23,Number,1431,3651000
New York City,Black,08/23,Number,5314,3651000
New York City,Hispanic,08/23,Number,5851,3651000
New York City,White,08/23,Number,4840,3651000
New York City,Asian,08/23,Rate,111.24,3651000
New York City,Black,08/23,Rate,247.21,3651000
New York City,Hispanic,08/23,Rate,261.93,3651000
New York City,White,08/23,Rate,123.44,3651000
New York City,Asian,09/07,Number,1437,3651000
New York City,Black,09/07,Number,5336,3651000
New York City,Hispanic,09/07,Number,5873,3651000
New York City,White,09/07,Number,4860,3651000
New York City,Asian,09/07,Rate,111.72,3651000
New York City,Black,09/07,Rate,248.21,3651000
New York City,Hispanic,09/07,Rate,262.94,3651000
New York City,White,09/07,Rate,123.94,3651000
New York City,Asian,09/14,Number,1440,3651000
New York City,Black,09/14,Number,5335,3651000
New York City,Hispanic,09/14,Number,5885,3651000
New York City,White,09/14,Number,4866,3651000
New York City,Asian,09/14,Rate,111.95,3651000
New York City,Black,09/14,Rate,248.15,3651000
New York City,Hispanic,09/14,Rate,263.52,3651000
New York City,White,09/14,Rate,124.09,3651000
New York City,Asian,09/27,Number,1445,3651000
New York City,Black,09/27,Number,5345,3651000
New York City,Hispanic,09/27,Number,5915,3651000
New York City,White,09/27,Number,4873,3651000
New York City,Asian,09/27,Rate,112.28,3651000
New York City,Black,09/27,Rate,248.65,3651000
New York City,Hispanic,09/27,Rate,264.88,3651000
New York City,White,09/27,Rate,124.23,3651000
New York City,Asian,10/07,Number,1446,3651000
New York City,Black,10/07,Number,5350,3651000
New York City,Hispanic,10/07,Number,5943,3651000
New York City,White,10/07,Number,4881,3651000
New York City,Asian,10/07,Rate,112.38,3651000
New York City,Black,10/07,Rate,248.95,3651000
New York City,Hispanic,10/07,Rate,266.18,3651000
New York City,White,10/07,Rate,124.43,3651000
New York City,Asian,10/14,Number,1447,3651000
New York City,Black,10/14,Number,5357,3651000
New York City,Hispanic,10/14,Number,5950,3651000
New York City,White,10/14,Number,4894,3651000
New York City,Asian,10/14,Rate,112.48,3651000
New York City,Black,10/14,Rate,249.27,3651000
New York City,Hispanic,10/14,Rate,266.5,3651000
New York City,White,10/14,Rate,124.79,3651000
New York City,Asian,10/21,Number,1447,3651000
New York City,Black,10/21,Number,5370,3651000
New York City,Hispanic,10/21,Number,5966,3651000
New York City,White,10/21,Number,4905,3651000
New York City,Asian,10/28,Number,1437,3651000
New York City,Black,10/28,Number,5350,3651000
New York City,Hispanic,10/28,Number,5973,3651000
New York City,White,10/28,Number,4911,3651000
New York City,Asian,10/21,Rate,112.48,3651000
New York City,Black,10/21,Rate,249.91,3651000
New York City,Hispanic,10/21,Rate,267.21,3651000
New York City,White,10/21,Rate,125.07,3651000
New York City,Asian,10/28,Rate,111.75,3651000
New York City,Black,10/28,Rate,248.99,3651000
New York City,Hispanic,10/28,Rate,267.55,3651000
New York City,White,10/28,Rate,125.21,3651000
New York City,Asian,11/04,Number,1439,3651000
New York City,Black,11/04,Number,5364,3651000
New York City,Hispanic,11/04,Number,5985,3651000
New York City,White,11/04,Number,4927,3651000
New York City,Asian,11/12,Number,1448,3651000
New York City,Black,11/12,Number,5364,3651000
New York City,Hispanic,11/12,Number,5995,3651000
New York City,White,11/12,Number,4947,3651000
New York City,Asian,11/04,Rate,111.9,3651000
New York City,Black,11/04,Rate,249.65,3651000
New York City,Hispanic,11/04,Rate,268.1,3651000
New York City,White,11/04,Rate,125.56,3651000
New York City,Asian,11/12,Rate,108.22,3651000
New York City,Black,11/12,Rate,246.4,3651000
New York City,Hispanic,11/12,Rate,263.56,3651000
New York City,White,11/12,Rate,125.45,3651000
New York City,Asian,11/19,Number,1458,3651000
New York City,Black,11/19,Number,5383,3651000
New York City,Hispanic,11/19,Number,6007,3651000
New York City,White,11/19,Number,4972,3651000
New York City,Asian,11/26,Number,1466,3651000
New York City,Black,11/26,Number,5390,3651000
New York City,Hispanic,11/26,Number,6027,3651000
New York City,White,11/26,Number,5001,3651000
New York City,Asian,12/03,Number,1467,3651000
New York City,Black,12/03,Number,5398,3651000
New York City,Hispanic,12/03,Number,6036,3651000
New York City,White,12/03,Number,5020,3651000
New York City,Asian,12/11,Number,1478,3651000
New York City,Black,12/11,Number,5424,3651000
New York City,Hispanic,12/11,Number,6059,3651000
New York City,White,12/11,Number,5072,3651000
New York City,Asian,11/19,Rate,108.97,3651000
New York City,Black,11/19,Rate,247.31,3651000
New York City,Hispanic,11/19,Rate,264.09,3651000
New York City,White,11/19,Rate,126.07,3651000
New York City,Asian,11/26,Rate,109.64,3651000
New York City,Black,11/26,Rate,247.68,3651000
New York City,Hispanic,11/26,Rate,264.98,3651000
New York City,White,11/26,Rate,126.78,3651000
New York City,Asian,12/03,Rate,109.61,3651000
New York City,Black,12/03,Rate,248,3651000
New York City,Hispanic,12/03,Rate,265.35,3651000
New York City,White,12/03,Rate,127.28,3651000
New York City,Asian,12/11,Rate,110.37,3651000
New York City,Black,12/11,Rate,249.2,3651000
New York City,Hispanic,12/11,Rate,266.54,3651000
New York City,White,12/11,Rate,128.56,3651000
New York City,Asian,1/27,Number,1747,3651000
New York City,Black,1/27,Number,5798,3651000
New York City,Hispanic,1/27,Number,6547,3651000
New York City,White,1/27,Number,5849,3651000
New York City,Asian,2/12,Number,1914,3651000
