"Name","COVID-19 Hospitalizations by Neighborhood Poverty"
"Description","Neighborhood poverty as the percentage of people earning incomes below the Federal Poverty Threshold within a ZCTA, such that:&nbsp;<br />
<em>Low</em>: &lt;10% of residents in ZCTA living below the Federal Poverty Threshold&nbsp;<br />
<em>Medium</em>: 10% to &lt;20%&nbsp;<br />
<em>High</em>: 20% to &lt;30%<br />
<em>Very high</em>: &ge;30% residents living below the FPT<br />
<br />
Rates refer to number of confirmed cases per 100,000 people in ZCTA of residence.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,Neighborhood Poverty,TimeFrame,DataFormat,Data,Fips
New York City,Low,10/21,Rate,373.63,3651000
New York City,Medium,10/21,Rate,583.57,3651000
New York City,High,10/21,Rate,750.22,3651000
New York City,Very High,10/21,Rate,856.03,3651000
New York City,Low,10/28,Rate,376.37,3651000
New York City,Medium,10/28,Rate,587.25,3651000
New York City,High,10/28,Rate,755.6,3651000
New York City,Very High,10/28,Rate,860.41,3651000
New York City,Low,11/04,Number,8080,3651000
New York City,Medium,11/04,Number,22725,3651000
New York City,High,11/04,Number,16544,3651000
New York City,Very High,11/04,Number,11402,3651000
New York City,Low,11/12,Number,7859,3651000
New York City,Medium,11/12,Number,24674,3651000
New York City,High,11/12,Number,16477,3651000
New York City,Very High,11/12,Number,10229,3651000
New York City,Low,11/04,Rate,379.89,3651000
New York City,Medium,11/04,Rate,591.5,3651000
New York City,High,11/04,Rate,759.66,3651000
New York City,Very High,11/04,Rate,865,3651000
New York City,Low,11/12,Rate,376.7,3651000
New York City,Medium,11/12,Rate,605.12,3651000
New York City,High,11/12,Rate,752.47,3651000
New York City,Very High,11/12,Rate,924.16,3651000
New York City,Low,11/19,Number,7949,3651000
New York City,Medium,11/19,Number,24919,3651000
New York City,High,11/19,Number,16634,3651000
New York City,Very High,11/19,Number,10330,3651000
New York City,Low,11/26,Number,8117,3651000
New York City,Medium,11/26,Number,25228,3651000
New York City,High,11/26,Number,16824,3651000
New York City,Very High,11/26,Number,10454,3651000
New York City,Low,12/03,Number,8336,3651000
New York City,Medium,12/03,Number,25578,3651000
New York City,High,12/03,Number,17059,3651000
New York City,Very High,12/03,Number,10594,3651000
New York City,Low,12/11,Number,8431,3651000
New York City,Medium,12/11,Number,25723,3651000
New York City,High,12/11,Number,17221,3651000
New York City,Very High,12/11,Number,10640,3651000
New York City,Low,11/19,Rate,380.99,3651000
New York City,Medium,11/19,Rate,611.33,3651000
New York City,High,11/19,Rate,759.57,3651000
New York City,Very High,11/19,Rate,933.32,3651000
New York City,Low,11/26,Rate,389.44,3651000
New York City,Medium,11/26,Rate,619.14,3651000
New York City,High,11/26,Rate,768.2,3651000
New York City,Very High,11/26,Rate,944.44,3651000
New York City,Low,12/03,Rate,399.97,3651000
New York City,Medium,12/03,Rate,627.88,3651000
New York City,High,12/03,Rate,778.91,3651000
New York City,Very High,12/03,Rate,956.91,3651000
New York City,Low,12/11,Rate,404.6,3651000
New York City,Medium,12/11,Rate,631.75,3651000
New York City,High,12/11,Rate,786.01,3651000
New York City,Very High,12/11,Rate,960.5,3651000
New York City,Low,1/27,Number,10600,3651000
New York City,Medium,1/27,Number,31579,3651000
New York City,High,1/27,Number,21025,3651000
New York City,Very High,1/27,Number,12896,3651000
New York City,Low,2/12,Number,11311,3651000
New York City,Medium,2/12,Number,33936,3651000
New York City,High,2/12,Number,22517,3651000
New York City,Very High,2/12,Number,13975,3651000
New York City,Low,2/26,Number,12047,3651000
New York City,Medium,2/26,Number,36368,3651000
New York City,High,2/26,Number,24040,3651000
New York City,Very High,2/26,Number,14990,3651000
New York City,Low,3/05,Number,12358,3651000
New York City,Medium,3/05,Number,37462,3651000
New York City,High,3/05,Number,24747,3651000
New York City,Very High,3/05,Number,15461,3651000
New York City,Low,1/27,Rate,508,3651000
New York City,Medium,1/27,Rate,774.24,3651000
New York City,High,1/27,Rate,959.11,3651000
New York City,Very High,1/27,Rate,1163.87,3651000
New York City,Low,2/12,Rate,541.24,3651000
New York City,Medium,2/12,Rate,831.79,3651000
New York City,High,2/12,Rate,1027.03,3651000
New York City,Very High,2/12,Rate,1261.55,3651000
New York City,Low,2/26,Rate,576.67,3651000
New York City,Medium,2/26,Rate,891.35,3651000
New York City,High,2/26,Rate,1096.53,3651000
New York City,Very High,2/26,Rate,1352.12,3651000
New York City,Low,3/05,Rate,591.86,3651000
New York City,Medium,3/05,Rate,918.45,3651000
New York City,High,3/05,Rate,1128.8,3651000
New York City,Very High,3/05,Rate,1393.78,3651000
New York City,Low,3/19,Number,12851,3651000
New York City,Medium,3/19,Number,39087,3651000
New York City,High,3/19,Number,25797,3651000
New York City,Very High,3/19,Number,16154,3651000
New York City,Low,4/02,Number,13456,3651000
New York City,Medium,4/02,Number,40662,3651000
New York City,High,4/02,Number,26912,3651000
New York City,Very High,4/02,Number,16706,3651000
New York City,Low,4/11,Number,13707,3651000
New York City,Medium,4/11,Number,41517,3651000
New York City,High,4/11,Number,27462,3651000
New York City,Very High,4/11,Number,17067,3651000
New York City,Low,3/19,Rate,616.27,3651000
New York City,Medium,3/19,Rate,958.83,3651000
New York City,High,3/19,Rate,1176.43,3651000
New York City,Very High,3/19,Rate,1455.14,3651000
New York City,Low,4/02,Rate,646.34,3651000
New York City,Medium,4/02,Rate,997.44,3651000
New York City,High,4/02,Rate,1227.19,3651000
New York City,Very High,4/02,Rate,1505.69,3651000
New York City,Low,4/11,Rate,658.97,3651000
New York City,Medium,4/11,Rate,1018.54,3651000
New York City,High,4/11,Rate,1252.14,3651000
New York City,Very High,4/11,Rate,1538.12,3651000
