"Name","COVID-19 Hospitalizations by Sex"
"Description","Hospitalizations are estimations that reflect the&nbsp;<strong>total&nbsp;</strong>number of people ever admitted to a hospital for COVID-19,&nbsp;<strong>not</strong>&nbsp;currently admitted. For more information on how DOHMH estimates the number of hospitalizations to COVID-19, see&nbsp;<a href=""https://github.com/nychealth/coronavirus-data#estimated-number-of-covid-19-patients-ever-hospitalized"">their technical notes</a>.&nbsp;Rates refer to the estimated number of hospitalizations per 100,000 individuals.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new hospitalizations per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;Cases among transgender and gender nonconforming individuals are not included at this time.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,Sex,TimeFrame,DataFormat,Data,Fips
New York City,Female,2/26,Number,41159,3651000
New York City,Male,2/26,Number,48485,3651000
New York City,Female,3/05,Number,42547,3651000
New York City,Male,3/05,Number,49735,3651000
New York City,Female,1/27,Rate,809.13,3651000
New York City,Male,1/27,Rate,1075.32,3651000
New York City,Female,2/12,Rate,873.47,3651000
New York City,Male,2/12,Rate,1148.74,3651000
New York City,Female,2/26,Rate,944.37,3651000
New York City,Male,2/26,Rate,1218.69,3651000
New York City,Female,3/05,Rate,976.21,3651000
New York City,Male,3/05,Rate,1250.11,3651000
New York City,Female,3/19,Number,44548,3651000
New York City,Male,3/19,Number,51666,3651000
New York City,Female,4/02,Number,46457,3651000
New York City,Male,4/02,Number,53658,3651000
New York City,Female,4/11,Number,47501,3651000
New York City,Male,4/11,Number,54664,3651000
New York City,Female,3/19,Rate,1022.12,3651000
New York City,Male,3/19,Rate,1298.65,3651000
New York City,Female,4/02,Rate,1065.92,3651000
New York City,Male,4/02,Rate,1348.72,3651000
New York City,Female,4/11,Rate,1089.88,3651000
New York City,Male,4/11,Rate,1374.01,3651000
