"Name","COVID-19 Cases by Sex"
"Description","Rates refer to the total number of confirmed COVID-19 cases per 100,000 individuals.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Cases were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated. For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete. Cases among transgender and gender nonconforming individuals are not included at this time.&nbsp;"

Location,Sex,TimeFrame,DataFormat,Data,Fips
New York City,Male,06/26,Number,108277,3651000
New York City,Female,06/26,Rate,2333.15,3651000
New York City,Male,06/26,Rate,2702.89,3651000
New York City,Female,06/30,Number,103105,3651000
New York City,Male,06/30,Number,108829,3651000
New York City,Female,06/30,Rate,2347.15,3651000
New York City,Male,06/30,Rate,2716.67,3651000
New York City,Female,07/09,Number,104605,3651000
New York City,Male,07/09,Number,110208,3651000
New York City,Female,07/09,Rate,2381.29,3651000
New York City,Male,07/09,Rate,2751.09,3651000
New York City,Female,07/20,Number,106458,3651000
New York City,Male,07/20,Number,111848,3651000
New York City,Female,07/20,Rate,2423.48,3651000
New York City,Male,07/20,Rate,2792.03,3651000
New York City,Female,07/30,Number,108058,3651000
New York City,Male,07/30,Number,113273,3651000
New York City,Female,07/30,Rate,2459.9,3651000
New York City,Male,07/30,Rate,2827.61,3651000
New York City,Female,08/05,Number,108926,3651000
New York City,Male,08/05,Number,114089,3651000
New York City,Female,08/05,Rate,2479.66,3651000
New York City,Male,08/05,Rate,2847.98,3651000
New York City,Female,08/16,Number,110976,3651000
New York City,Male,08/16,Number,115595,3651000
New York City,Female,08/16,Rate,2526.33,3651000
New York City,Male,08/16,Rate,2885.57,3651000
New York City,Female,08/23,Number,111861,3651000
New York City,Male,08/23,Number,116378,3651000
New York City,Female,08/23,Rate,2546.47,3651000
New York City,Male,08/23,Rate,2905.11,3651000
New York City,Female,09/07,Number,113704,3651000
New York City,Male,09/07,Number,117897,3651000
New York City,Female,09/07,Rate,2588.43,3651000
New York City,Male,09/07,Rate,2943.03,3651000
New York City,Female,09/14,Number,114655,3651000
New York City,Male,09/14,Number,118774,3651000
New York City,Female,09/14,Rate,2610.08,3651000
New York City,Male,09/14,Rate,2964.93,3651000
New York City,Female,09/27,Number,116759,3651000
New York City,Male,09/27,Number,120965,3651000
New York City,Female,09/27,Rate,2657.98,3651000
New York City,Male,09/27,Rate,3019.62,3651000
New York City,Female,10/07,Number,119153,3651000
New York City,Male,10/07,Number,123441,3651000
New York City,Female,10/07,Rate,2712.47,3651000
New York City,Male,10/07,Rate,3081.43,3651000
New York City,Female,10/14,Number,120906,3651000
New York City,Male,10/14,Number,125127,3651000
New York City,Female,10/14,Rate,2752.38,3651000
New York City,Male,10/14,Rate,3123.51,3651000
New York City,Female,10/21,Number,122734,3651000
New York City,Male,10/21,Number,126899,3651000
New York City,Female,10/28,Number,124669,3651000
New York City,Male,10/28,Number,128698,3651000
New York City,Female,10/21,Rate,2793.99,3651000
New York City,Male,10/21,Rate,3167.75,3651000
New York City,Female,10/28,Rate,2838.04,3651000
New York City,Male,10/28,Rate,3212.66,3651000
New York City,Female,11/04,Number,126993,3651000
New York City,Male,11/04,Number,130812,3651000
New York City,Female,11/12,Number,130737,3651000
New York City,Male,11/12,Number,134192,3651000
New York City,Female,11/04,Rate,2890.95,3651000
New York City,Male,11/04,Rate,3265.43,3651000
New York City,Female,11/12,Rate,2999.67,3651000
New York City,Male,11/12,Rate,3372.98,3651000
New York City,Female,11/19,Number,135486,3651000
New York City,Male,11/19,Number,138490,3651000
New York City,Female,11/26,Number,141115,3651000
New York City,Male,11/26,Number,143585,3651000
New York City,Female,12/03,Number,148555,3651000
New York City,Male,12/03,Number,150367,3651000
New York City,Female,12/11,Number,159381,3651000
New York City,Male,12/11,Number,160055,3651000
New York City,Female,11/19,Rate,3108.63,3651000
New York City,Male,11/19,Rate,3481.01,3651000
New York City,Female,11/26,Rate,3237.79,3651000
New York City,Male,11/26,Rate,3609.08,3651000
New York City,Female,12/03,Rate,3408.49,3651000
New York City,Male,12/03,Rate,3779.55,3651000
New York City,Female,12/11,Rate,3656.89,3651000
New York City,Male,12/11,Rate,4023.06,3651000
New York City,Female,1/27,Number,256304,3651000
New York City,Male,1/27,Number,245531,3651000
New York City,Female,2/12,Number,287523,3651000
New York City,Male,2/12,Number,272731,3651000
New York City,Female,2/26,Number,311039,3651000
New York City,Male,2/26,Number,293768,3651000
New York City,Female,3/05,Number,322351,3651000
New York City,Male,3/05,Number,303599,3651000
New York City,Female,1/27,Rate,5880.72,3651000
New York City,Male,1/27,Rate,6171.54,3651000
New York City,Female,2/12,Rate,6597.02,3651000
New York City,Male,2/12,Rate,6855.23,3651000
New York City,Female,2/26,Rate,7136.58,3651000
New York City,Male,2/26,Rate,7384,3651000
New York City,Female,3/05,Rate,7396.12,3651000
New York City,Male,3/05,Rate,7631.11,3651000
New York City,Female,3/19,Number,340460,3651000
New York City,Male,3/19,Number,319849,3651000
New York City,Female,4/02,Number,365030,3651000
New York City,Male,4/02,Number,342370,3651000
New York City,Female,4/11,Number,378006,3651000
New York City,Male,4/11,Number,353724,3651000
New York City,Female,3/19,Rate,7811.62,3651000
New York City,Male,3/19,Rate,8039.56,3651000
New York City,Female,4/02,Rate,8375.36,3651000
New York City,Male,4/02,Rate,8605.64,3651000
New York City,Female,4/11,Rate,8673.09,3651000
New York City,Male,4/11,Rate,8891.02,3651000
