"Name","COVID-19 Hospitalizations by Race/Ethnicity"
"Description","Racial groups are defined such that:&nbsp;<br />
<em>Asian</em>&nbsp;= Asian or Pacific Islander<br />
<em>Black</em>&nbsp;= Black or African American<br />
<em>Hispanic</em>&nbsp;= Hispanic or Latino, regardless of race<br />
<em>White</em>&nbsp;= White&nbsp;<br />
<br />
Rates are age adjusted according to the U.S. 2000 standard population, per 100,000 people by racial/ethnic group.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data on people identified as American Indian/Alaska Native, two or more races, or other races/ethnicities are not shown, as precise race-specific population estimates are not available for these groups in NYC. Race/ethnicity information is most complete for people who have been hospitalized or have died. Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,White,10/28,Number,12293,3651000
New York City,Asian,10/21,Rate,286.77,3651000
New York City,Black,10/21,Rate,731.66,3651000
New York City,Hispanic,10/21,Rate,731.13,3651000
New York City,White,10/21,Rate,339.98,3651000
New York City,Asian,10/28,Rate,289.28,3651000
New York City,Black,10/28,Rate,733.17,3651000
New York City,Hispanic,10/28,Rate,735.08,3651000
New York City,White,10/28,Rate,343.64,3651000
New York City,Asian,11/04,Number,3957,3651000
New York City,Black,11/04,Number,15759,3651000
New York City,Hispanic,11/04,Number,17400,3651000
New York City,White,11/04,Number,12408,3651000
New York City,Asian,11/12,Number,3988,3651000
New York City,Black,11/12,Number,15826,3651000
New York City,Hispanic,11/12,Number,17506,3651000
New York City,White,11/12,Number,12518,3651000
New York City,Asian,11/04,Rate,291.92,3651000
New York City,Black,11/04,Rate,736.54,3651000
New York City,Hispanic,11/04,Rate,740.24,3651000
New York City,White,11/04,Rate,346.94,3651000
New York City,Asian,11/12,Rate,286.77,3651000
New York City,Black,11/12,Rate,741.8,3651000
New York City,Hispanic,11/12,Rate,741.16,3651000
New York City,White,11/12,Rate,352.36,3651000
New York City,Asian,11/19,Number,4061,3651000
New York City,Black,11/19,Number,15944,3651000
New York City,Hispanic,11/19,Number,17734,3651000
New York City,White,11/19,Number,12701,3651000
New York City,Asian,11/26,Number,4132,3651000
New York City,Black,11/26,Number,16100,3651000
New York City,Hispanic,11/26,Number,17950,3651000
New York City,White,11/26,Number,12937,3651000
New York City,Asian,12/03,Number,4219,3651000
New York City,Black,12/03,Number,16255,3651000
New York City,Hispanic,12/03,Number,18199,3651000
New York City,White,12/03,Number,13204,3651000
New York City,Asian,12/11,Number,4370,3651000
New York City,Black,12/11,Number,16564,3651000
New York City,Hispanic,12/11,Number,18744,3651000
New York City,White,12/11,Number,13650,3651000
New York City,Asian,11/19,Rate,292.04,3651000
New York City,Black,11/19,Rate,747.53,3651000
New York City,Hispanic,11/19,Rate,750.77,3651000
New York City,White,11/19,Rate,357.69,3651000
New York City,Asian,11/26,Rate,297.48,3651000
New York City,Black,11/26,Rate,755.12,3651000
New York City,Hispanic,11/26,Rate,759.74,3651000
New York City,White,11/26,Rate,364.8,3651000
New York City,Asian,12/03,Rate,303.58,3651000
New York City,Black,12/03,Rate,762.63,3651000
New York City,Hispanic,12/03,Rate,770.11,3651000
New York City,White,12/03,Rate,372.63,3651000
New York City,Asian,12/11,Rate,314.05,3651000
New York City,Black,12/11,Rate,777.41,3651000
New York City,Hispanic,12/11,Rate,793.11,3651000
New York City,White,12/11,Rate,385.36,3651000
New York City,Asian,1/27,Number,6344,3651000
New York City,Black,1/27,Number,19888,3651000
New York City,Hispanic,1/27,Number,23760,3651000
New York City,White,1/27,Number,17812,3651000
New York City,Asian,2/12,Number,7016,3651000
New York City,Black,2/12,Number,21387,3651000
New York City,Hispanic,2/12,Number,25518,3651000
New York City,White,2/12,Number,19317,3651000
New York City,Asian,2/26,Number,7796,3651000
New York City,Black,2/26,Number,22831,3651000
New York City,Hispanic,2/26,Number,27441,3651000
New York City,White,2/26,Number,20911,3651000
New York City,Asian,3/05,Number,8140,3651000
New York City,Black,3/05,Number,23462,3651000
